id,primaryTitle,nconst
323395,Star Trek,Chris Pine
323396,Star Trek,Zachary Quinto
323397,Star Trek,Simon Pegg
223808,The Matrix Reloaded,Laurence Fishburne
223809,The Matrix Reloaded,Hugo Weaving
223807,The Matrix Reloaded,Keanu Reeves
574684,Knives Out,Chris Evans
574683,Knives Out,Daniel Craig
100706,Jaws,Robert Shaw
100705,Jaws,Roy Scheider
100707,Jaws,Richard Dreyfuss
480853,The Hateful Eight,Kurt Russell
480852,The Hateful Eight,Samuel L. Jackson
297759,Spider-Man 3,Thomas Haden Church
297758,Spider-Man 3,Topher Grace
297757,Spider-Man 3,Tobey Maguire
162826,"Lock, Stock and Two Smoking Barrels",Jason Statham
162823,"Lock, Stock and Two Smoking Barrels",Jason Flemyng
161078,L.A. Confidential,Kevin Spacey
161079,L.A. Confidential,Russell Crowe
161080,L.A. Confidential,Guy Pearce
313180,There Will Be Blood,Ciaran Hinds
313178,There Will Be Blood,Daniel Day-Lewis
313179,There Will Be Blood,Paul Dano
370672,Looper,Bruce Willis
370671,Looper,Joseph Gordon-Levitt
370673,Looper,Paul Dano
488820,La La Land,J.K. Simmons
488819,La La Land,Ryan Gosling
157710,Independence Day,Jeff Goldblum
157709,Independence Day,Bill Pullman
157708,Independence Day,Will Smith
285726,Harry Potter and the Order of the Phoenix,Rupert Grint
285725,Harry Potter and the Order of the Phoenix,Daniel Radcliffe
285727,Harry Potter and the Order of the Phoenix,Brendan Gleeson
326392,Superbad,Bill Hader
326389,Superbad,Michael Cera
326390,Superbad,Jonah Hill
364265,Limitless,Robert De Niro
364264,Limitless,Bradley Cooper
347587,Spider-Man: No Way Home,Benedict Cumberbatch
347586,Spider-Man: No Way Home,Tom Holland
176499,American Psycho,Christian Bale
176500,American Psycho,Justin Theroux
176501,American Psycho,Josh Lucas
357117,Zombieland,Woody Harrelson
357116,Zombieland,Jesse Eisenberg
103614,Rocky,Sylvester Stallone
103615,Rocky,Burt Young
103616,Rocky,Carl Weathers
269757,The Notebook,Ryan Gosling
269756,The Notebook,James Garner
226724,Ocean's Eleven,Matt Damon
226723,Ocean's Eleven,Brad Pitt
226722,Ocean's Eleven,George Clooney
161324,Men in Black,Vincent D'Onofrio
161323,Men in Black,Will Smith
161322,Men in Black,Tommy Lee Jones
368015,Kick-Ass,Nicolas Cage
368014,Kick-Ass,Aaron Taylor-Johnson
138238,Home Alone,Macaulay Culkin
138239,Home Alone,Joe Pesci
138240,Home Alone,Daniel Stern
138241,Home Alone,John Heard
521988,Deadpool 2,Josh Brolin
521987,Deadpool 2,Ryan Reynolds
282393,Shaun of the Dead,Simon Pegg
282394,Shaun of the Dead,Nick Frost
365794,21 Jump Street,Channing Tatum
365795,21 Jump Street,Ice Cube
365793,21 Jump Street,Jonah Hill
570444,1917,Colin Firth
570442,1917,George MacKay
253431,X2: X-Men United,Patrick Stewart
253432,X2: X-Men United,Hugh Jackman
253433,X2: X-Men United,Ian McKellen
296869,Watchmen,Patrick Wilson
296868,Watchmen,Jackie Earle Haley
196689,Minority Report,Tom Cruise
196690,Minority Report,Colin Farrell
196691,Minority Report,Max von Sydow
346823,The Kashmir Files,Anupam Kher
346822,The Kashmir Files,Mithun Chakraborty
235864,The Bourne Identity,Matt Damon
235865,The Bourne Identity,Chris Cooper
235866,The Bourne Identity,Clive Owen
308295,Blood Diamond,Djimon Hounsou
308294,Blood Diamond,Leonardo DiCaprio
423706,Blade Runner 2049,Dave Bautista
423704,Blade Runner 2049,Harrison Ford
423705,Blade Runner 2049,Ryan Gosling
98725,Monty Python and the Holy Grail,Eric Idle
98724,Monty Python and the Holy Grail,John Cleese
273599,"I, Robot",Will Smith
273600,"I, Robot",Bruce Greenwood
331520,Harry Potter and the Deathly Hallows: Part 1,Rupert Grint
331519,Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe
331521,Harry Potter and the Deathly Hallows: Part 1,Bill Nighy
496484,Captain Marvel,Jude Law
496483,Captain Marvel,Ben Mendelsohn
496482,Captain Marvel,Samuel L. Jackson
299183,Harry Potter and the Half-Blood Prince,Michael Gambon
299181,Harry Potter and the Half-Blood Prince,Daniel Radcliffe
299182,Harry Potter and the Half-Blood Prince,Rupert Grint
379670,The Great Gatsby,Tobey Maguire
379668,The Great Gatsby,Leonardo DiCaprio
379669,The Great Gatsby,Joel Edgerton
313649,Ex Machina,Oscar Isaac
313648,Ex Machina,Domhnall Gleeson
269814,Troy,Brad Pitt
269815,Troy,Eric Bana
269816,Troy,Orlando Bloom
306738,Zodiac,Robert Downey Jr.
306737,Zodiac,Jake Gyllenhaal
306739,Zodiac,Mark Ruffalo
306740,Zodiac,Anthony Edwards
465311,Nightcrawler,Riz Ahmed
465309,Nightcrawler,Jake Gyllenhaal
465310,Nightcrawler,Bill Paxton
375761,Rise of the Planet of the Apes,James Franco
375762,Rise of the Planet of the Apes,Andy Serkis
134159,Back to the Future Part II,Michael J. Fox
134160,Back to the Future Part II,Christopher Lloyd
312698,Juno,Elliot Page
312700,Juno,Jason Bateman
312699,Juno,Michael Cera
393622,Oblivion,Morgan Freeman
393621,Oblivion,Tom Cruise
447255,The Hobbit: The Battle of the Five Armies,Ian McKellen
447256,The Hobbit: The Battle of the Five Armies,Martin Freeman
373429,Pirates of the Caribbean: On Stranger Tides,Johnny Depp
373431,Pirates of the Caribbean: On Stranger Tides,Geoffrey Rush
373430,Pirates of the Caribbean: On Stranger Tides,Ian McShane
332390,Source Code,Jake Gyllenhaal
332391,Source Code,Jeffrey Wright
491169,Baby Driver,Jon Hamm
491168,Baby Driver,Jon Bernthal
286940,X-Men: The Last Stand,Hugh Jackman
286939,X-Men: The Last Stand,Patrick Stewart
402458,"Crazy, Stupid, Love.",Ryan Gosling
402457,"Crazy, Stupid, Love.",Steve Carell
153538,Casino,Robert De Niro
153540,Casino,James Woods
153539,Casino,Joe Pesci
227522,The Matrix Revolutions,Hugo Weaving
227521,The Matrix Revolutions,Laurence Fishburne
227520,The Matrix Revolutions,Keanu Reeves
133046,Rain Man,Dustin Hoffman
133047,Rain Man,Tom Cruise
437322,Hacksaw Ridge,Sam Worthington
437321,Hacksaw Ridge,Andrew Garfield
409922,The Perks of Being a Wallflower,Logan Lerman
409924,The Perks of Being a Wallflower,Paul Rudd
301450,Hot Fuzz,Simon Pegg
301451,Hot Fuzz,Nick Frost
301452,Hot Fuzz,Martin Freeman
301453,Hot Fuzz,Bill Nighy
310587,X-Men Origins: Wolverine,Danny Huston
310584,X-Men Origins: Wolverine,Hugh Jackman
310585,X-Men Origins: Wolverine,Liev Schreiber
310586,X-Men Origins: Wolverine,Ryan Reynolds
410134,Pacific Rim,Idris Elba
410135,Pacific Rim,Charlie Hunnam
410136,Pacific Rim,Charlie Day
212418,Children of Men,Clive Owen
212420,Children of Men,Michael Caine
212419,Children of Men,Chiwetel Ejiofor
385887,The Hangover Part II,Bradley Cooper
385890,The Hangover Part II,Justin Bartha
385888,The Hangover Part II,Zach Galifianakis
385889,The Hangover Part II,Ed Helms
391045,The Conjuring,Ron Livingston
391044,The Conjuring,Patrick Wilson
513301,"Three Billboards Outside Ebbing, Missouri",Caleb Landry Jones
513300,"Three Billboards Outside Ebbing, Missouri",Sam Rockwell
513299,"Three Billboards Outside Ebbing, Missouri",Woody Harrelson
278832,Mr. & Mrs. Smith,Adam Brody
278831,Mr. & Mrs. Smith,Brad Pitt
278833,Mr. & Mrs. Smith,Vince Vaughn
424779,The Amazing Spider-Man 2,Andrew Garfield
424780,The Amazing Spider-Man 2,Jamie Foxx
424781,The Amazing Spider-Man 2,Paul Giamatti
365323,Mission: Impossible - Ghost Protocol,Tom Cruise
365325,Mission: Impossible - Ghost Protocol,Simon Pegg
365324,Mission: Impossible - Ghost Protocol,Jeremy Renner
385495,Star Trek Into Darkness,Zachary Quinto
385496,Star Trek Into Darkness,Benedict Cumberbatch
385494,Star Trek Into Darkness,Chris Pine
74311,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,George C. Scott
74310,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter Sellers
121024,Indiana Jones and the Temple of Doom,Harrison Ford
121026,Indiana Jones and the Temple of Doom,Amrish Puri
322915,Dallas Buyers Club,Steve Zahn
322913,Dallas Buyers Club,Matthew McConaughey
322914,Dallas Buyers Club,Jared Leto
323580,The Incredible Hulk,Edward Norton
323581,The Incredible Hulk,Tim Roth
323582,The Incredible Hulk,William Hurt
262890,Love Actually,Liam Neeson
262889,Love Actually,Hugh Grant
419727,American Hustle,Christian Bale
419728,American Hustle,Bradley Cooper
307842,Hancock,Jason Bateman
